"FPR","TPR","Predict","BaseModel"
0.192307692307692,0.480769230769231,"VogtmannE_2016","PRJEB27928"
0.192307692307692,0.5,"VogtmannE_2016","PRJEB27928"
0.192307692307692,0.519230769230769,"VogtmannE_2016","PRJEB27928"
0.211538461538462,0.519230769230769,"VogtmannE_2016","PRJEB27928"
0.230769230769231,0.538461538461538,"VogtmannE_2016","PRJEB27928"
0.230769230769231,0.557692307692308,"VogtmannE_2016","PRJEB27928"
0.288461538461538,0.557692307692308,"VogtmannE_2016","PRJEB27928"
0.326923076923077,0.557692307692308,"VogtmannE_2016","PRJEB27928"
0.326923076923077,0.576923076923077,"VogtmannE_2016","PRJEB27928"
0.326923076923077,0.596153846153846,"VogtmannE_2016","PRJEB27928"
0.346153846153846,0.596153846153846,"VogtmannE_2016","PRJEB27928"
0.365384615384615,0.596153846153846,"VogtmannE_2016","PRJEB27928"
0.384615384615385,0.596153846153846,"VogtmannE_2016","PRJEB27928"
0.403846153846154,0.596153846153846,"VogtmannE_2016","PRJEB27928"
0.403846153846154,0.615384615384615,"VogtmannE_2016","PRJEB27928"
0.423076923076923,0.615384615384615,"VogtmannE_2016","PRJEB27928"
0.423076923076923,0.634615384615385,"VogtmannE_2016","PRJEB27928"
0.423076923076923,0.653846153846154,"VogtmannE_2016","PRJEB27928"
0.442307692307692,0.653846153846154,"VogtmannE_2016","PRJEB27928"
0.442307692307692,0.673076923076923,"VogtmannE_2016","PRJEB27928"
0.461538461538462,0.673076923076923,"VogtmannE_2016","PRJEB27928"
0.480769230769231,0.673076923076923,"VogtmannE_2016","PRJEB27928"
0.480769230769231,0.692307692307692,"VogtmannE_2016","PRJEB27928"
0.5,0.692307692307692,"VogtmannE_2016","PRJEB27928"
0.519230769230769,0.711538461538462,"VogtmannE_2016","PRJEB27928"
0.519230769230769,0.730769230769231,"VogtmannE_2016","PRJEB27928"
0.519230769230769,0.75,"VogtmannE_2016","PRJEB27928"
0.519230769230769,0.769230769230769,"VogtmannE_2016","PRJEB27928"
0.538461538461538,0.769230769230769,"VogtmannE_2016","PRJEB27928"
0.538461538461538,0.788461538461538,"VogtmannE_2016","PRJEB27928"
0.538461538461538,0.807692307692308,"VogtmannE_2016","PRJEB27928"
0.538461538461538,0.826923076923077,"VogtmannE_2016","PRJEB27928"
0.557692307692308,0.826923076923077,"VogtmannE_2016","PRJEB27928"
0.596153846153846,0.826923076923077,"VogtmannE_2016","PRJEB27928"
0.615384615384615,0.826923076923077,"VogtmannE_2016","PRJEB27928"
0.615384615384615,0.846153846153846,"VogtmannE_2016","PRJEB27928"
0.634615384615385,0.846153846153846,"VogtmannE_2016","PRJEB27928"
0.653846153846154,0.846153846153846,"VogtmannE_2016","PRJEB27928"
0.711538461538462,0.846153846153846,"VogtmannE_2016","PRJEB27928"
0.711538461538462,0.865384615384615,"VogtmannE_2016","PRJEB27928"
0.730769230769231,0.865384615384615,"VogtmannE_2016","PRJEB27928"
0.75,0.865384615384615,"VogtmannE_2016","PRJEB27928"
0.788461538461538,0.865384615384615,"VogtmannE_2016","PRJEB27928"
0.788461538461538,0.884615384615385,"VogtmannE_2016","PRJEB27928"
0.807692307692308,0.884615384615385,"VogtmannE_2016","PRJEB27928"
0.826923076923077,0.884615384615385,"VogtmannE_2016","PRJEB27928"
0.846153846153846,0.884615384615385,"VogtmannE_2016","PRJEB27928"
0.846153846153846,0.903846153846154,"VogtmannE_2016","PRJEB27928"
0.865384615384615,0.903846153846154,"VogtmannE_2016","PRJEB27928"
0.884615384615385,0.903846153846154,"VogtmannE_2016","PRJEB27928"
0.903846153846154,0.903846153846154,"VogtmannE_2016","PRJEB27928"
0.923076923076923,0.923076923076923,"VogtmannE_2016","PRJEB27928"
0.923076923076923,0.942307692307692,"VogtmannE_2016","PRJEB27928"
0.942307692307692,0.942307692307692,"VogtmannE_2016","PRJEB27928"
