"Species";"Pvalue";"Ctlmean";"Ctlmedian";"CRCmean";"CRCmedian";"SamplingCountForEachGroup";"pvalue";"adj.fdr.p";"Enrichment"
"Megasphaera_micronuciformis";0,0305751291106989;0,00041725;"0";0,00106;"0";"472";0,0305751291106989;0,361550901734014;"Nodiff"
"Prevotella_stercorea";0,0305751291106989;0,022681;"0";0,10524975;"0";"566";0,0305751291106989;0,361550901734014;"Nodiff"
"Klebsiella_unclassified";0,0340315261844088;0,00298775;"0";0,0055865;"0";"386";0,0340315261844088;0,375023720395429;"Nodiff"
"Anaerotruncus_colihominis";0,0343439168973771;0,0135625;"0";0,04924125;"0.005335";"72";0,0343439168973771;0,375023720395429;"Nodiff"
"Bacteroides_nordii";0,0346207429676062;0,00428825;"0";0,083359;"0";"100";0,0346207429676062;0,375023720395429;"Nodiff"
"Lachnospiraceae_bacterium_3_1_57FAA_CT1";0,0353433959512242;0,01393125;"0";0,035232;"0.00571";"394";0,0353433959512242;0,375023720395429;"Nodiff"
"Ruminococcus_gnavus";0,0360632277957823;0,22168975;"0.00342";0,52329625;"0.029725";"609";0,0360632277957823;0,375023720395429;"Nodiff"
"Oxalobacter_formigenes";0,0387312223432727;0,0192365;"0";0,0185105;"0";"501";0,0387312223432727;0,375023720395429;"Nodiff"
"Ruminococcus_sp_5_1_39BFAA";0,0388815603375057;1,588004;"0.686835";1,7161805;"0.21938";"613";0,0388815603375057;0,375023720395429;"Nodiff"
"Atopobium_parvulum";0,0402408717720716;0,0005995;"0";0,006018;"0";"78";0,0402408717720716;0,375023720395429;"Nodiff"
"Actinomyces_naeslundii";0,0428145473601547;0,00043175;"0";0;"0";"25";0,0428145473601547;0,375023720395429;"Nodiff"
"Eggerthella_sp_1_3_56FAA";0,0428145473601547;0,07666725;"0";0;"0";"281";0,0428145473601547;0,375023720395429;"Nodiff"
"Peptostreptococcus_anaerobius";0,0428145473601547;0;"0";0,00184025;"0";"530";0,0428145473601547;0,375023720395429;"Nodiff"
"Porphyromonas_uenonis";0,0428145473601547;0;"0";0,0073465;"0";"539";0,0428145473601547;0,375023720395429;"Nodiff"
"Streptococcus_dysgalactiae";0,0428145473601547;0;"0";0,0113295;"0";"659";0,0428145473601547;0,375023720395429;"Nodiff"
"Synergistes_sp_3_1_syn1";0,0428145473601547;0;"0";0,0579685;"0";"691";0,0428145473601547;0,375023720395429;"Nodiff"
"Paraprevotella_clara";0,0448348258129802;0,08731925;"0";0,08342925;"0";"510";0,0448348258129802;0,38557950199163;"Nodiff"
"Bifidobacterium_dentium";0,0476486618131952;0,00329;"0";0,01263875;"0";"137";0,0476486618131952;0,402461018529309;"Nodiff"
"Bacteroides_coprophilus";0,0531357161014948;0,010939;"0";0,35909375;"0";"90";0,0531357161014948;0,440933223087843;"Nodiff"
"Lactobacillus_casei_paracasei";0,0547660766506484;0,0134305;"0";0,0010045;"0";"411";0,0547660766506484;0,445715857295141;"Nodiff"
"Actinomyces_oris";0,0555966925590133;0,000558;"0";0,00016325;"0";"27";0,0555966925590133;0,445715857295141;"Nodiff"
"Clostridium_leptum";0,0574423830352509;0,092062;"0.0181";0,5102065;"0.039885";"212";0,0574423830352509;0,452837452927895;"Nodiff"
"Clostridium_citroniae";0,0601407140292512;0,0117625;"0";0,026106;"0.00614";"204";0,0601407140292512;0,466337012062882;"Nodiff"
"Parvimonas_micra";0,066961252313771;0,00062425;"0";0,0271295;"0";"515";0,066961252313771;0,467094166906071;"Nodiff"
"Butyricimonas_synergistica";0,0693843710614831;0,001064;"0";0,002016;"0";"162";0,0693843710614831;0,467094166906071;"Nodiff"
"Desulfovibrio_desulfuricans";0,0695970593812687;0,00272;"0";0,0286285;"0";"265";0,0695970593812687;0,467094166906071;"Nodiff"
"Lachnospiraceae_bacterium_5_1_57FAA";0,0704331946041588;0,00585875;"0";0,0204865;"0";"396";0,0704331946041588;0,467094166906071;"Nodiff"
"Eubacterium_rectale";0,0733466626678589;6,21786475;"4.58436";4,32409725;"1.04268";"331";0,0733466626678589;0,467094166906071;"Nodiff"
"Ruminococcus_flavefaciens";0,073355548974455;0,002861;"0";0,0002015;"0";"608";0,073355548974455;0,467094166906071;"Nodiff"
"Clostridium_sp_ATCC_BAA_442";0,0750343291970415;0,04375125;"0";0,234196;"0";"221";0,0750343291970415;0,467094166906071;"Nodiff"
"candidate_division_TM7_single_cell_isolate_TM7c";0,0767018265558345;0,0008265;"0";0,003369;"0";"175";0,0767018265558345;0,467094166906071;"Nodiff"
"Bifidobacterium_animalis";0,0774243607150795;0,01632;"0";0,04621875;"0";"133";0,0774243607150795;0,467094166906071;"Nodiff"
"Clostridiaceae_bacterium_JC118";0,0799508596418814;0,00537975;"0";0,00749575;"0";"195";0,0799508596418814;0,467094166906071;"Nodiff"
"Mitsuokella_unclassified";0,0804741889752442;0,03457225;"0";0,02351425;"0.00323";"477";0,0804741889752442;0,467094166906071;"Nodiff"
"Citrobacter_unclassified";0,0812072453743367;0,002;"0";0,009423;"0";"194";0,0812072453743367;0,467094166906071;"Nodiff"
"Aggregatibacter_segnis";0,0819636698799236;0;"0";0,00028625;"0";"42";0,0819636698799236;0,467094166906071;"Nodiff"
"Anaerococcus_obesiensis";0,0819636698799236;0;"0";0,00073525;"0";"62";0,0819636698799236;0,467094166906071;"Nodiff"
"Atopobium_rimae";0,0819636698799236;0;"0";0,00265075;"0";"79";0,0819636698799236;0,467094166906071;"Nodiff"
"Bacteroides_barnesiae";0,0819636698799236;0;"0";0,12081275;"0";"85";0,0819636698799236;0,467094166906071;"Nodiff"
"Corynebacterium_casei";0,0819636698799236;0,00046275;"0";0;"0";"248";0,0819636698799236;0,467094166906071;"Nodiff"
"Morganella_morganii";0,0819636698799236;0;"0";0,3665445;"0";"482";0,0819636698799236;0,467094166906071;"Nodiff"
"Oribacterium_sinus";0,0819636698799236;0;"0";0,0012675;"0";"495";0,0819636698799236;0,467094166906071;"Nodiff"
"Prevotella_intermedia";0,0819636698799236;0;"0";0,00732175;"0";"551";0,0819636698799236;0,467094166906071;"Nodiff"
"Propionibacterium_freudenreichii";0,0819636698799236;0;"0";0,00038775;"0";"570";0,0819636698799236;0,467094166906071;"Nodiff"
