"AUC","Study","RepeatTimes","Fold","FeatureCount"
0.893333333333333,"YuJ_2015",6,4,40
0.903030303030303,"YuJ_2015",6,3,40
0.886666666666667,"YuJ_2015",6,2,40
0.875757575757576,"YuJ_2015",6,1,40
0.886666666666667,"YuJ_2015",5,5,40
0.773333333333333,"YuJ_2015",5,4,40
0.973333333333333,"YuJ_2015",5,3,40
0.787878787878788,"YuJ_2015",5,2,40
0.86,"YuJ_2015",5,1,40
0.778787878787879,"YuJ_2015",4,5,40
0.866666666666667,"YuJ_2015",4,4,40
0.866666666666667,"YuJ_2015",4,3,40
0.803333333333333,"YuJ_2015",4,2,40
0.806060606060606,"YuJ_2015",4,1,40
0.884848484848485,"YuJ_2015",3,5,40
0.860606060606061,"YuJ_2015",3,4,40
0.751515151515152,"YuJ_2015",3,3,40
0.927272727272727,"YuJ_2015",3,2,40
0.827272727272727,"YuJ_2015",3,1,40
0.906666666666667,"YuJ_2015",2,5,40
0.854545454545454,"YuJ_2015",2,4,40
0.913333333333333,"YuJ_2015",2,3,40
0.927272727272727,"YuJ_2015",2,2,40
0.939393939393939,"YuJ_2015",2,1,40
0.896969696969697,"YuJ_2015",1,5,40
0.966666666666667,"YuJ_2015",1,4,40
0.775757575757576,"YuJ_2015",1,3,40
0.921212121212121,"YuJ_2015",1,2,40
0.84,"YuJ_2015",1,1,40
0.822314049586777,"VogtmannE_2016",10,5,40
0.661157024793388,"VogtmannE_2016",10,4,40
0.645,"VogtmannE_2016",10,3,40
0.72,"VogtmannE_2016",10,2,40
0.727272727272727,"VogtmannE_2016",10,1,40
0.740909090909091,"VogtmannE_2016",9,5,40
0.940909090909091,"VogtmannE_2016",9,4,40
0.88,"VogtmannE_2016",9,3,40
0.981818181818182,"VogtmannE_2016",9,2,40
0.718181818181818,"VogtmannE_2016",9,1,40
0.75,"VogtmannE_2016",8,5,40
0.818181818181818,"VogtmannE_2016",8,4,40
0.735537190082645,"VogtmannE_2016",8,3,40
0.663636363636364,"VogtmannE_2016",8,2,40
0.82,"VogtmannE_2016",8,1,40
0.793388429752066,"VogtmannE_2016",7,5,40
0.704545454545454,"VogtmannE_2016",7,4,40
0.790909090909091,"VogtmannE_2016",7,3,40
0.9,"VogtmannE_2016",7,2,40
